   750   1.54   1.05   1.00   1.00   1.05   1.72   1.41   1.19   0.95   1.05
   800   1.45   1.04   1.00   1.00   1.05   1.73   1.41   1.19   0.95   1.05
   850   1.37   1.04   0.99   1.00   1.06   1.75   1.41   1.19   0.95   1.05
   900   1.31   1.03   0.99   1.00   1.07   1.76   1.42   1.19   0.95   1.05
   950   1.27   1.02   0.99   1.00   1.08   1.77   1.42   1.19   0.95   1.05
  1000   1.23   1.02   0.99   1.00   1.08   1.78   1.42   1.19   0.95   1.05
  1100   1.17   1.01   0.99   1.00   1.09   1.79   1.42   1.19   0.95   1.05
  1200   1.13   1.01   0.99   1.01   1.10   1.81   1.43   1.19   0.95   1.05
  1300   1.10   1.00   0.99   1.01   1.11   1.82   1.43   1.19   0.95   1.05
  1400   1.07   1.00   0.99   1.01   1.11   1.83   1.43   1.19   0.95   1.06
  1500   1.06   1.00   0.99   1.01   1.12   1.84   1.43   1.19   0.96   1.06
  2000   1.01   0.99   0.99   1.01   1.14   1.87   1.44   1.19   0.96   1.06
  3000   0.99   0.99   1.00   1.02   1.15   1.89   1.44   1.20   0.96   1.06
  5000   0.99   0.99   1.00   1.02   1.17   1.92   1.45   1.20   0.96   1.06
  7000   0.99   0.99   1.01   1.02   1.17   1.93   1.45   1.20   0.96   1.06
  9000   0.99   0.99   1.01   1.02   1.18   1.93   1.45   1.20   0.96   1.06
 10000   0.99   0.99   1.01   1.02   1.18   1.93   1.45   1.20   0.96   1.06
 12000   0.99   0.99   1.01   1.02   1.18   1.94   1.45   1.20   0.96   1.06
 14000   0.99   0.99   1.01   1.02   1.18   1.94   1.45   1.20   0.96   1.06
 16000   0.99   0.99   1.01   1.02   1.18   1.94   1.45   1.20   0.96   1.06
 18000   0.99   0.99   1.01   1.02   1.18   1.94   1.45   1.20   0.96   1.06
 20000   0.99   0.99   1.01   1.02   1.18   1.94   1.45   1.20   0.96   1.06
